date,vacuna pfizer,pfizer,pfizer vacuna,vacuna covid,isPartial
2020-09-27,0,1,0,18,False
2020-10-04,0,1,0,10,False
2020-10-11,1,1,0,10,False
2020-10-18,0,1,0,14,False
2020-10-25,0,1,0,9,False
2020-11-01,0,1,0,10,False
2020-11-08,4,10,4,12,False
2020-11-15,2,6,3,12,False
2020-11-22,4,7,4,14,False
2020-11-29,4,8,4,17,False
2020-12-06,7,13,6,23,False
2020-12-13,7,14,7,23,False
2020-12-20,7,14,6,23,False
2020-12-27,4,8,4,21,False
2021-01-03,9,16,9,35,False
2021-01-10,5,9,5,25,False
2021-01-17,4,9,4,25,False
2021-01-24,4,8,3,31,False
2021-01-31,10,19,10,32,False
2021-02-07,22,33,22,100,False
2021-02-14,8,14,9,43,False
2021-02-21,7,11,7,30,False
2021-02-28,22,35,22,71,False
2021-03-07,24,38,25,77,False
2021-03-14,18,27,18,73,False
2021-03-21,12,21,12,63,False
2021-03-28,11,18,11,47,False
2021-04-04,10,17,10,34,False
2021-04-11,12,19,11,39,False
2021-04-18,15,24,15,46,False
2021-04-25,17,27,17,52,False
2021-05-02,18,29,18,44,False
2021-05-09,21,32,22,51,False
2021-05-16,22,33,22,67,False
2021-05-23,24,35,24,66,False
2021-05-30,20,27,19,48,False
2021-06-06,16,24,16,46,False
2021-06-13,18,27,18,54,False
2021-06-20,19,27,19,57,False
2021-06-27,25,39,25,92,False
2021-07-04,29,42,29,92,False
2021-07-11,37,52,37,77,False
2021-07-18,31,47,31,74,False
2021-07-25,32,47,32,71,False
2021-08-01,37,67,37,78,False
2021-08-08,24,45,24,56,False
2021-08-15,16,29,16,46,False
2021-08-22,17,32,17,54,False
2021-08-29,20,31,19,62,False
2021-09-05,27,46,26,89,False
2021-09-12,36,63,36,85,False
2021-09-19,21,40,22,59,False
2021-09-26,24,48,24,60,False
2021-10-03,18,33,18,49,False
2021-10-10,23,42,24,61,False
2021-10-17,21,35,20,41,False
2021-10-24,14,26,14,38,False
2021-10-31,26,42,26,56,False
2021-11-07,15,25,15,38,False
2021-11-14,13,23,13,48,False
2021-11-21,13,23,13,46,False
2021-11-28,14,23,14,48,False
2021-12-05,13,24,13,78,False
2021-12-12,12,23,12,65,False
2021-12-19,13,30,13,61,False
2021-12-26,16,29,16,52,False
2022-01-02,16,30,16,62,False
2022-01-09,15,29,16,63,False
2022-01-16,11,21,11,47,False
2022-01-23,9,18,9,49,False
2022-01-30,9,16,9,42,False
2022-02-06,7,13,7,35,False
2022-02-13,7,15,7,31,False
2022-02-20,7,13,7,33,False
2022-02-27,6,12,6,31,False
2022-03-06,5,10,5,28,False
2022-03-13,5,10,5,25,False
2022-03-20,5,11,5,32,False
2022-03-27,8,15,7,45,False
2022-04-03,7,12,6,41,False
2022-04-10,5,11,6,40,False
2022-04-17,6,10,6,37,False
2022-04-24,5,10,5,37,False
2022-05-01,4,7,4,29,False
2022-05-08,4,7,4,28,False
2022-05-15,3,6,3,24,False
2022-05-22,2,4,2,25,False
2022-05-29,2,4,2,22,False
2022-06-05,1,3,2,21,False
2022-06-12,2,3,1,21,False
2022-06-19,2,5,2,25,False
2022-06-26,3,5,3,25,False
